  Hz	 mVrms	dBV	deg
100.0	16.341	-35.735
120.0	16.087	-35.871
140.0	16.170	-35.826
160.0	16.151	-35.837
180.0	16.163	-35.830
200.0	16.142	-35.842
220.0	15.943	-35.949
240.0	15.559	-36.161
260.0	16.120	-35.853
280.0	16.050	-35.891
300.0	16.232	-35.793
320.0	16.807	-35.491
340.0	17.523	-35.128
360.0	18.866	-34.487
380.0	20.602	-33.723
400.0	23.667	-32.518
420.0	27.284	-31.283
440.0	32.351	-29.803
460.0	38.540	-28.282
480.0	46.436	-26.664
500.0	55.497	-25.115
520.0	67.097	-23.467
540.0	80.637	-21.870
560.0	95.708	-20.382
580.0	113.700	-18.885
600.0	134.901	-17.400
620.0	156.723	-16.100
640.0	184.038	-14.705
660.0	215.600	-13.330
680.0	246.688	-12.160
700.0	285.423	-10.893
720.0	327.146	-9.708
740.0	374.945	-8.524
760.0	424.911	-7.437
780.0	478.050	-6.411
800.0	543.035	-5.304
820.0	604.405	-4.374
840.0	673.782	-3.430
860.0	754.516	-2.447
880.0	832.763	-1.590
900.0	916.810	-0.755
920.0	999.009	-0.009
940.0	1080.334	0.671
960.0	1161.104	1.297
980.0	1247.935	1.923
1000.0	1330.006	2.476
1020.0	1402.832	2.940
1220.0	1890.588	5.532
1420.0	2001.393	6.027
1620.0	2021.477	6.113
1820.0	2024.891	6.128
2020.0	2033.495	6.165
2220.0	2028.713	6.144
2420.0	2021.851	6.115
2620.0	2017.742	6.097
2820.0	2026.408	6.135
3020.0	2032.141	6.159
3220.0	2032.403	6.160
3420.0	2030.646	6.153
3620.0	2026.823	6.136
3820.0	2034.784	6.170
4020.0	2034.309	6.168
4220.0	2027.469	6.139
4420.0	2034.403	6.169
4620.0	2030.471	6.152
4820.0	2031.011	6.154
5020.0	2033.340	6.164
5220.0	2031.944	6.158
5420.0	2036.303	6.177
5620.0	2047.671	6.225
5820.0	2031.110	6.155
6020.0	2020.372	6.109
6220.0	2045.664	6.217
6420.0	2032.997	6.163
6620.0	2036.062	6.176
6820.0	2022.613	6.118
7020.0	2030.618	6.153
7220.0	2021.786	6.115
7420.0	2022.132	6.116
7620.0	2032.380	6.160
7820.0	2027.095	6.138
8020.0	2025.707	6.132
8220.0	2035.272	6.173
8420.0	2027.307	6.138
8620.0	2037.237	6.181
8820.0	2032.675	6.161
9020.0	2032.296	6.160
9220.0	2037.408	6.182
9420.0	2023.998	6.124
9620.0	2039.737	6.192
9820.0	2026.084	6.133
10020	2028.171	6.142
12020	2014.316	6.083
14020	2023.429	6.122
16020	2021.248	6.112
18020	2012.516	6.075
20020	2011.695	6.071
22020	2003.774	6.037
24020	2003.308	6.035
26020	1992.830	5.989
28020	1974.737	5.910
30020	1974.045	5.907
32020	1947.750	5.791
34020	1923.016	5.680
36020	1883.648	5.500
38020	1833.116	5.264
40020	1769.291	4.956
42020	1681.975	4.516
44020	1578.908	3.967
46020	1466.337	3.325
48020	1323.308	2.433
50020	1184.336	1.470
52020	1048.440	0.411
54020	925.745	-0.670
56020	796.207	-1.979
58020	691.540	-3.204
60020	601.325	-4.418
62020	499.158	-6.036
64020	429.523	-7.341
66020	369.365	-8.651
68020	322.551	-9.829
70020	280.134	-11.053
72020	244.216	-12.245
74020	212.708	-13.445
76020	194.522	-14.224
78020	170.645	-15.361
80020	150.582	-16.448
82020	133.510	-17.493
84020	119.087	-18.486
86020	106.141	-19.485
88020	95.495	-20.403
90020	85.270	-21.387
92020	77.185	-22.252
94020	69.424	-23.173
96020	61.898	-24.169
98020	55.018	-25.190
100020	51.161	-25.822
120020	24.349	-32.271
140020	15.057	-36.446
160020	15.238	-36.342
180020	15.099	-36.422
200020	16.785	-35.502
220020	16.234	-35.792
240020	12.491	-38.068
260020	12.339	-38.175
280020	15.368	-36.268
300020	15.826	-36.013
320020	11.118	-39.080
340020	15.270	-36.324
360020	12.665	-37.948
380020	12.544	-38.032
400020	15.225	-36.350
420020	15.013	-36.471
440020	16.746	-35.522
460020	16.079	-35.875
480020	11.590	-38.719
500020	15.373	-36.266
520020	11.495	-38.791
540020	15.902	-35.972
560020	18.627	-34.598
580020	15.925	-35.959
600020	12.249	-38.239
620020	12.187	-38.283
640020	13.954	-37.107
660020	13.332	-37.502
680020	13.247	-37.558
700020	13.855	-37.168
720020	14.524	-36.759
740020	14.369	-36.852
760020	10.807	-39.326
780020	14.030	-37.059
800020	11.870	-38.512
820020	11.333	-38.914
840020	12.253	-38.236
860020	11.772	-38.584
880020	14.614	-36.705
900020	18.294	-34.754
920020	15.818	-36.018
940020	14.669	-36.673
960020	14.030	-37.059
980020	13.789	-37.210
